time,accuracy
8.230966091156006,0.1404000073671341
15.085508346557617,0.4656999409198761
21.94605827331543,0.6067999005317688
28.811875104904175,0.657500147819519
35.671122789382935,0.7399001121520996
42.520806074142456,0.7566999793052673
49.379401206970215,0.8134000301361084
56.223222494125366,0.8553999066352844
63.084092140197754,0.8839001059532166
69.93572998046875,0.8318000435829163
76.7974796295166,0.8737002611160278
83.66807055473328,0.8913000226020813
90.52562093734741,0.9137998819351196
97.39400577545166,0.9085999727249146
104.39259719848633,0.9060001373291016
111.83092832565308,0.8761000633239746
118.90961623191833,0.9207000732421875
125.8127064704895,0.9168999791145325
132.81106638908386,0.9165000915527344
139.83611822128296,0.9193000793457031
147.20507764816284,0.9367002844810486
154.2055003643036,0.9045999646186829
161.36137008666992,0.9228999018669128
168.37941980361938,0.9364001154899597
175.44524574279785,0.9335001707077026
182.42430329322815,0.9466999769210815
189.3894078731537,0.9452999830245972
196.34612011909485,0.9357000589370728
203.3041913509369,0.9362999796867371
210.27368021011353,0.9487000107765198
217.22871732711792,0.9301998615264893
224.16985869407654,0.9569000005722046
231.14520454406738,0.954800009727478
238.09623312950134,0.9589000344276428
245.06787276268005,0.9573001861572266
252.0155520439148,0.9366998672485352
259.02253127098083,0.937099814414978
265.9656882286072,0.9628999829292297
272.921541929245,0.9535000324249268
279.8597116470337,0.9492000341415405
286.78375482559204,0.9495000243186951
293.6849846839905,0.9652999043464661
300.560893535614,0.9584000110626221
307.46796774864197,0.9587000012397766
314.3459722995758,0.9589000344276428
321.23064064979553,0.9643999338150024
328.12856554985046,0.9476999640464783
334.9980013370514,0.9613000154495239
341.900244474411,0.9636997580528259
348.9139235019684,0.9637001752853394
